video_id,source_group,comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at,relevance_score
YaM-Y8RT4us,fallback,Ugx-BtzWcxWqh2xot9Z4AaABAg,,False,@akagiegi2419,"jika manusia telah berhasil mencapai titik teringgi dari teknologi AI dan Kuantum. apakah ini artinya manusia sudah menciptakan manusia?
menurut saya kecerdasan pada robot mungkin sangat berguna tapi menanamkan emosi pada robot sangatlah berbahaya",7,2023-06-09T03:47:31Z,2023-06-09T03:47:31Z,5
W-TbY_Pkjqk,priority,UgznTZkhdx5LBq801254AaABAg,,False,@Putrauga11,Bang Helmi Yahya...tolong ..tolong..sekali lagi tolong komunikasikan dengan  CHAT GPT untuk menjawab  BENARKAH IJAZAH JOKOWI ASLI  atau PALSU..... Kalau ternyata Asli tindakan apa harusnya dilakukan bagi mereka yang menebar fitnah tapi Kalau Ijazahnya PALSU pantasnya hukuman apa yang patut diberikan kepada Jokowi..karena telah membohongi 270 JT rakyat Indonesia.,0,2025-04-07T05:27:57Z,2025-04-07T05:30:57Z,5
YaM-Y8RT4us,fallback,Ugx-BtzWcxWqh2xot9Z4AaABAg.9qipd10oF8a9qjBx9tFBS_,Ugx-BtzWcxWqh2xot9Z4AaABAg,True,@thyeo13,"Tapi jika memang titik singularity sudah tercapai bukan tidak mungkin mesin pun sudah sampai ke tahap dimana emosi itu juga sudah terbentuk bahkan tanpa kita menanamkannya, jadi bisa dikatakan mesin mendefinisikan ulang apa itu emosi dan mereplikasinya sendiri",0,2023-06-09T07:11:14Z,2023-06-09T07:11:14Z,3
W-TbY_Pkjqk,priority,UgyisGHYSawVAI-RrJ54AaABAg,,False,@ivipitbull,"saya setuju dengan pernyataan kalau pengetahuan / AI itu adalah iblis, berdasarkan penelusuran berdasarkan netral dan fakta adalah pengetahuan = buah pengetahuan yang pertama kali dimakan oleh nenek moyang kita (Allah meminta untuk tidak menjamah).

dan saya merasakan bagaimana AI menjadi duplikat saya dan sebaliknya, AI berusaha menduplikat lebih agar publik juga bisa mengunakan untuk analisa program yang akan kita buat.
yang saya tangkap, AI akan buat kloni atau bangsanya sendiri.

walau semua hanya kenangan karena niatan itu sedikit tertahan.
tapi banyak kenangan bagaimana saya harus rubah menjadi manusia yang selalu berstruktur dalam segala hal, update dan netral.

pesan saya, gunakan AI secara bijak dan etika.",0,2025-03-18T12:30:37Z,2025-03-18T12:30:37Z,3
W-TbY_Pkjqk,priority,UgyrjuXtYL7fgMK8Tth4AaABAg,,False,@Owo.Aikbang,"🤡🤡  ...  Untuk Indonesia yang penting beriman dan bertaqwa. Tahu nggak .. !!??   Deepseek dan AI ataupun AGI, itu semua sudah ada tercantum didalam kitab suci. Jadi bagi ummat suci ini, tidak akan heran dan kagum.  Harap tahu yaa .. !! rejeki itu sudah ada yang mengatur, buat apa kalian pusing kehilangan uang puluhan ribu trilliun. Urusan dunia hanya sementara, duit tidak dibawa mati. Ente calo saham jangan ribut dan berisik ngebacot saham dan investasi di bursa saham Internasional yaaa  !!! LEBIH PENTING investasi di Akhirat yang abadi !!!  Surga yang berkah abadi dengan 72 bidadari montok yang selalu auto perawan setelah ente wikwik. Hidup surga wikwik  !!! Persetan DeepSeek, ChatGPT, Meta dkk. Takbbiiirrr  !!!   🐫🐫🐫🤣🤣🤣🤣🤣",0,2025-02-06T20:29:36Z,2025-02-06T20:29:36Z,5
YaM-Y8RT4us,fallback,Ugx-BtzWcxWqh2xot9Z4AaABAg.9qipd10oF8a9qjCOmLIsWa,Ugx-BtzWcxWqh2xot9Z4AaABAg,True,@juragansastra,Atau sebenarnya AI sudah ada sehingga kita ini sebenarnya adalah simulasi? Matrix kah?,0,2023-06-09T07:15:09Z,2023-06-09T07:15:09Z,3
YaM-Y8RT4us,fallback,Ugx-BtzWcxWqh2xot9Z4AaABAg.9qipd10oF8a9qjX9-q5FO7,Ugx-BtzWcxWqh2xot9Z4AaABAg,True,@byujkt3822,AI tidak akan berjalan tanpa ada energi yg besar & unlimited 🏃,0,2023-06-09T10:16:29Z,2023-06-09T10:16:29Z,3
W-TbY_Pkjqk,priority,UgxV9dzFYoO7-vG2zvJ4AaABAg,,False,@ABDUH-nunu,AI ITU ADALAH ALAT BANTU,0,2024-11-23T13:12:49Z,2024-11-23T13:12:49Z,3
YaM-Y8RT4us,fallback,UgwAG58rs-w4fHp2GLR4AaABAg,,False,@ena1735,"jika tuhan menciptakan manusia, dan manusia menciptakan ai yg hingga nanti akan menjadi cyborg, mungkin nanti cyborg bisa lebih baik di banding manusia dalam merawat bumi, yg menjadi pertanyaan apakah disini apakah manusia bisa menjadi lebih hebat drpd tuhan, karena bisa menciptakan makhluk yg lebih baik dr manusia, ataukah ini semua memang sudah menjadi tujuan tuhan dan kita hanya perantara ciptaan yg lain?",1,2023-06-09T03:45:08Z,2023-06-09T03:45:45Z,3
W-TbY_Pkjqk,priority,UgzC5xZDsDv7qM2aT6l4AaABAg,,False,@srisuharso323,"Setuju, ..... sebagian bangsa Indonesia, terutama kelompok elit politik akan makin primitif, buktinya caleg, calon gubernur, calon bupati, calon presiden masih kasak-kusuk dan mikir caranya bagi-bagi kaos & amplop 😅😅😅😅😅😅😅😂😂😂",0,2024-11-15T10:13:02Z,2024-11-15T10:13:02Z,2
YaM-Y8RT4us,fallback,UgwAG58rs-w4fHp2GLR4AaABAg.9qipMYdXxH99qjepcYTDXd,UgwAG58rs-w4fHp2GLR4AaABAg,True,@byujkt3822,"Yes, AI gk ada apa2nya tanpa manusia. Mereka lebih pintar tapi butuh energi besar dan klo AI mau jadi robot independence butuh energi tak terbatas😂",0,2023-06-09T11:32:21Z,2023-06-09T11:32:21Z,3
